id,galaz,model,parametry,n_cech,accuracy,precision,recall,f1,TN,FP,FN,TP,czas_treningu_s
E01,A (28 cech),LogisticRegression,C=0.01,28,0.641904,0.6388634637480769,0.7438381945021806,0.6873659875538669,62061,55632,33892,98415,0.73
E02,A (28 cech),LogisticRegression,C=1 (baseline),28,0.641984,0.6389373981575855,0.743875985397598,0.6874249154862683,62076,55617,33887,98420,0.81
E03,A (28 cech),LogisticRegression,C=100,28,0.641988,0.6389397421415495,0.7438835435766815,0.6874294993801184,62076,55617,33886,98421,0.72
E04,A (28 cech),SGDClassifier,loss=log_loss,28,0.638236,0.6371828143021915,0.7348741941091552,0.682550658303469,62330,55363,35078,97229,2.34
E05,A (28 cech),SGDClassifier,loss=hinge,28,0.63992,0.6229094608341811,0.8099042378710121,0.7042046186401693,52824,64869,25151,107156,2.83
E06,A (28 cech),DecisionTree,max_depth=5,28,0.662784,0.6724282850923511,0.7074455622151511,0.689492604160528,72096,45597,38707,93600,10.03
E07,A (28 cech),DecisionTree,max_depth=15,28,0.702488,0.7164777016270675,0.7245572796601842,0.7204948404019451,79758,37935,36443,95864,27.85
E08,A (28 cech),DecisionTree,max_depth=None,28,0.644872,0.6651113387200789,0.6625877693546071,0.6638471557521052,73553,44140,44642,87665,32.81
E09,A (28 cech),RandomForest,"n_estimators=100, max_depth=10",28,0.711272,0.7158964415239326,0.7534370819382195,0.7341871906669809,78133,39560,32622,99685,42.67
E10,A (28 cech),RandomForest,"n_estimators=200, max_depth=20",28,0.736072,0.7453918499937102,0.7613580536177225,0.7532903592474051,83285,34408,31574,100733,159.95
E11,A (28 cech),HistGradientBoosting,domyślne,28,0.73142,0.7448668229918229,0.7490835707861262,0.746969245900898,83746,33947,33198,99109,6.2
E12,A (28 cech),HistGradientBoosting,"learning_rate=0.2, max_iter=300",28,0.742408,0.7526056971960392,0.7646080706236253,0.7585594097269087,84439,33254,31144,101163,11.66
E13,B (21 nisk.),LogisticRegression,C=1,21,0.565868,0.5735672731773734,0.7004693629210851,0.630698193523361,48790,68903,39630,92677,0.41
E14,B (21 nisk.),SGDClassifier,loss=log_loss,21,0.561584,0.5714879494171511,0.6858745191108558,0.6234781652788084,49650,68043,41561,90746,2.11
E15,B (21 nisk.),DecisionTree,max_depth=15,21,0.621384,0.6387208488376377,0.6551731956736982,0.6468424233831551,68662,49031,45623,86684,18.28
E16,B (21 nisk.),RandomForest,"n_estimators=100, max_depth=10",21,0.630752,0.6305464705613547,0.7300369594957183,0.676654173526218,61099,56594,35718,96589,37.4
E17,B (21 nisk.),RandomForest,"n_estimators=200, max_depth=20",21,0.660204,0.6676199510143984,0.7128269857225997,0.6894832457881443,70739,46954,37995,94312,125.03
E18,B (21 nisk.),HistGradientBoosting,domyślne,21,0.65068,0.6581347434445999,0.7074002131406502,0.6818787839048805,69076,48617,38713,93594,5.4
E19,C (7 wys.),LogisticRegression,C=1,7,0.626952,0.6141499780733811,0.7938733400349188,0.692541505676948,51703,65990,27272,105035,0.41
E20,C (7 wys.),SGDClassifier,loss=log_loss,7,0.629008,0.6233666602216664,0.7554022084999282,0.6830623500707359,57307,60386,32362,99945,0.94
E21,C (7 wys.),DecisionTree,max_depth=15,7,0.6876,0.6995971750705128,0.7180194547529609,0.7086886138650792,76901,40792,37308,94999,9.63
E22,C (7 wys.),RandomForest,"n_estimators=100, max_depth=10",7,0.699228,0.7086249470346722,0.7331282547408678,0.7206683779797837,77809,39884,35309,96998,30.58
E23,C (7 wys.),RandomForest,"n_estimators=200, max_depth=20",7,0.71124,0.7217635731834178,0.7394166597383358,0.7304834795594549,79980,37713,34477,97830,87.16
E24,C (7 wys.),HistGradientBoosting,domyślne,7,0.707548,0.7189386317907445,0.7345718669458154,0.7266711777218673,79698,37995,35118,97189,3.76
E25,D (top-10),LogisticRegression,C=1,10,0.638392,0.6338364643283744,0.7499905522761456,0.687038703870387,60369,57324,33078,99229,0.43
E26,D (top-10),SGDClassifier,loss=log_loss,10,0.634224,0.6439071117152778,0.6909687318131316,0.6666083329687478,67136,50557,40887,91420,1.13
E27,D (top-10),DecisionTree,max_depth=15,10,0.700184,0.7156792695492595,0.7192060888690697,0.7174383449066221,79890,37803,37151,95156,11.82
E28,D (top-10),RandomForest,"n_estimators=100, max_depth=10",10,0.712352,0.7251276698848176,0.735146288556161,0.7301026114501468,80823,36870,35042,97265,37.82
E29,D (top-10),RandomForest,"n_estimators=200, max_depth=20",10,0.728072,0.7416906509960698,0.7459847173618932,0.7438314869244103,83319,34374,33608,98699,101.23
E30,D (top-10),HistGradientBoosting,domyślne,10,0.722716,0.7392576047649436,0.7354637320776678,0.7373557883569818,83372,34321,35000,97307,3.24
